,name,latitude,longitude
0,Provinsi Aceh,4.695135,96.7493993
1,Provinsi Sumatera Utara,2.1153547,99.5450974
2,Provinsi Sumatera Barat,-0.7399397,100.8000051
3,Provinsi Riau,0.2933469,101.7068294
4,Provinsi Jambi,-1.4851831,102.4380581
5,Provinsi Sumatera Selatan,-3.3194374,103.914399
6,Provinsi Bengkulu,-3.5778471,102.3463875
7,Provinsi Lampung,-4.5585849,105.4068079
8,Provinsi Kepulauan Bangka Belitung,-2.7410513,106.4405872
9,Provinsi Kepulauan Riau,3.9456514,108.1428669
10,Provinsi DKI Jakarta,-6.211544,106.845172
11,Provinsi Jawa Barat,-7.090911,107.668887
12,Provinsi Jawa Tengah,-7.150975,110.1402594
13,Provinsi DI Yogyakarta,-7.8753849,110.4262088
14,Provinsi Jawa Timur,-7.5360639,112.2384017
15,Provinsi Banten,-6.4058172,106.0640179
16,Provinsi Bali,-8.4095178,115.188916
17,Provinsi Nusa Tenggara Barat,-8.6529334,117.3616476
18,Provinsi Nusa Tenggara Timur,-8.6573819,121.0793705
19,Provinsi Kalimantan Barat,-0.2787808,111.4752851
20,Provinsi Kalimantan Tengah,-1.6814878,113.3823545
21,Provinsi Kalimantan Selatan,-3.0926415,115.2837585
22,Provinsi Kalimantan Timur,1.6406296,116.419389
23,Provinsi Sulawesi Utara,0.6246932,123.9750018
24,Provinsi Sulawesi Tengah,-1.4300254,121.4456179
25,Provinsi Sulawesi Selatan,-3.6687994,119.9740534
26,Provinsi Sulawesi Tenggara,-4.14491,122.174605
27,Provinsi Gorontalo,0.6999372,122.4467238
28,Provinsi Sulawesi Barat,-2.8441371,119.2320784
29,Provinsi Maluku,-3.2384616,130.1452734
30,Provinsi Maluku Utara,1.5709993,127.8087693
31,Provinsi Papua Barat,-1.3361154,133.1747162
32,Provinsi Papua,-4.269928,138.0803529